id,status,parsed_time
harman-connected-services-senior-principal-c-software-engineer,expired,2022-05-22 15:54:10.858794
insight-senior-fullstack-developer,expired,2022-05-22 15:54:10.858794
viessmann-r-d-center-requirements-engineer-wroclaw,expired,2022-05-22 15:54:10.858794
optiveum-fullstack-developer-python,expired,2022-05-22 15:54:10.858794
the-codest-mid-senior-java-developer-remote-krakow,expired,2022-05-22 15:54:10.858794
optiveum-senior-bi-developer,expired,2022-05-22 15:54:10.858794
viacomcbs-senior-software-engineer-in-test,expired,2022-05-22 15:54:10.858794
affirm-lead-product-manager,expired,2022-05-22 15:54:10.858794
donkey-republic-senior-android-developer,expired,2022-05-22 15:54:10.858794
prodata-consult-mid-and-senior-java-developer,expired,2022-05-22 15:54:10.858794
nordea-senior-test-automation-engineer,expired,2022-05-22 15:54:10.858794
brainly-senior-lead-search-engineer-warszawa,expired,2022-05-22 15:54:10.858794
stonex-poland-fullstack-software-engineer,expired,2022-05-22 15:54:10.858794
dragons-lake-senior-c-ue-developer-wroclaw,expired,2022-05-22 15:54:10.858794
white-label-coders-php-laravel-developer-poznan,expired,2022-05-22 15:54:10.858794
prodata-consult-senior-developer,expired,2022-05-22 15:54:10.858794
forte-digital-net-developer-katowice,expired,2022-05-22 15:54:10.858794
smartpatient-senior-data-analyst-warszawa,expired,2022-05-22 15:54:10.858794
hcl-poland-sap-support-agent-with-french-gdansk,expired,2022-05-22 15:54:10.858794
allegro-data-engineer-ecommerce-cdp,expired,2022-05-22 15:54:10.858794
kubo-team-leader-embedded,expired,2022-05-22 15:54:10.858794
intent-lead-full-stack-developer-lublin,expired,2022-05-22 15:54:10.858794
white-label-coders-wordpress-woocommerce-backend-developer,expired,2022-05-22 15:54:10.858794
allegro-team-leader-net-allegro-pay,expired,2022-05-22 15:54:10.858794
allegro-software-engineer-python-pto,expired,2022-05-22 15:54:10.858794
spyrosoft-aws-engineer,expired,2022-05-22 15:54:10.858794
euvic-sp-z-o-o-integration-developer-biztalk-server,expired,2022-05-22 15:54:10.858794
sente-praktyki-letnie-it-wroclaw,expired,2022-05-22 15:54:10.858794
codete-senior-backend-developer-krakow,expired,2022-05-22 15:54:10.858794
appliscale-java-developer,expired,2022-05-22 15:54:10.858794
hcl-poland-sap-support-agent-with-french-krakow,expired,2022-05-22 15:54:10.858794
allegro-senior-data-engineer-ecommerce-cdp,expired,2022-05-22 15:54:10.858794
fujitsu-technology-solutions-sp-z-o-o-lead-c-linux-developer,expired,2022-05-22 15:54:10.858794
iview-recruitment-ux-designer,expired,2022-05-22 15:54:10.858794
spartez-software-sp-z-o-o-sp-k-principal-software-engineer,expired,2022-05-22 15:54:10.858794
nokia-squad-group-lead,expired,2022-05-22 15:54:10.858794
meilisearch-fullstack-software-engineer,expired,2022-05-22 15:54:10.858794
